Protocolo,data,hora,natureza,situacao,bairro,endereco,numero,detalhe_endereco_acidente,complemento,bairro_cruzamento,num_semaforo,sentido_via,tipo,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,acidente_verificado,tempo_clima,situacao_semaforo,sinalizacao,condicao_via,conservacao_via,ponto_controle,situacao_placa,velocidade_max_via,mao_direcao,divisao_via1,divisao_via2,divisao_via3
202200268,2022-01-05,,SEM VÍTIMA,FINALIZADA,ARRUDA,AV PROFESSOR JOSE DOS ANJOS,162,,EM FRENTE AO Nº 162 - SENTIDO CIDADE/SUBÚRBIO,ARRUDA,131,SUBURBIO,,0,1,0,0,0,0,0,1,0,0,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não existe,R-4b,40 km/h,Dupla,Canal,,
202200269,2022-01-05,,COM VÍTIMA,FINALIZADA,ESPINHEIRO,RUA MARQUES DO PARANA,,RUA ALFREDO DE CARVALHO,PRÓX AO MARTELINHO DE OURO,ESPINHEIRO,,,COLISÃO TRANSVERSAL,0,0,0,0,0,1,1,0,0,2,0,Cruzamento,Bom,Não existe,Ilegível,Seca,Perfeito estado,Faixa de pedestre,R-4a,,Única,Não existe,,
202200278,2022-01-05,,COM VÍTIMA,FINALIZADA,IBURA,AV DOM HELDER CAMARA,,,AO LADO DO NUCLEO DE POLICIA NA ENTRADA DE IBURA DE BAIXO,IBURA,315,,COLISÃO TRASEIRA,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de retenção,Não há placas,,Dupla,Faixa contínua,,
202200288,2022-01-05,,SEM VÍTIMA,FINALIZADA,ÁGUA FRIA,EST VELHA DE AGUA FRIA,1110,,,ÁGUA FRIA,,SUBURBIO,CHOQUE,0,0,0,0,0,0,1,0,0,0,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Outras,,Dupla,Canteiro central,,
202200293,2022-01-05,,COM VÍTIMA,FINALIZADA,BAIRRO DO RECIFE,AV MILITAR,,1PR DIAS COELHO,E/F AO FORTE DO BRUM,BAIRRO DO RECIFE,,S,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,R-6a,50 km/h,Única,,,
202200300,2022-01-05,,COM VÍTIMA,FINALIZADA,ILHA JOANA BEZERRA,AV GOVERNADOR AGAMENON MAGALHAES,,,E/F A ACADEMIA DA CIDADE,ILHA JOANA BEZERRA,,,CHOQUE,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
202200302,2022-01-06,,COM VÍTIMA,FINALIZADA,ESPINHEIRO,AV JOAO DE BARROS,,,SOB O VIADUTO DA AGAMENOM MAGALHÃES / EM FRENTE A QUITANDARIA,ESPINHEIRO,,SUBURBIO,CHOQUE,0,1,0,0,0,0,0,0,0,2,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Outras,,Única,Faixa seccionada,,
202200312,2022-01-06,,COM VÍTIMA,FINALIZADA,NOVA DESCOBERTA,RUA NOVA DESCOBERTA,211,,"LARGO DONA REGINA, EM FRENTE O ATACAREJO O CONDUTOR DO ÔNIBUS INFORMOU QUE O RAPAZ TERIA SE JOGADO NA FRENTE DO COLETIVO",NOVA DESCOBERTA,,,ATROPELAMENTO DE PESSOA,0,0,0,0,1,1,0,0,0,1,0,Longo da via,Nublado,Não existe,Incompleta,Seca,Perfeito estado,Não existe,,,Dupla,Faixa contínua,Faixa seccionada,
202200320,2022-01-06,,COM VÍTIMA,FINALIZADA,BARRO,AV DR JOSE RUFINO,1715,,"NO SEMAFORO 557,",BARRO,,CIDADE,COLISÃO TRANSVERSAL,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não existe,R-6a,60 km/h,Dupla,Faixa contínua,,
202200323,2022-01-06,,COM VÍTIMA,FINALIZADA,CASA FORTE,AV DEZESSETE DE AGOSTO,969,,"E/F AO LABORATORIO CERPE, COLISÃO C/VITIMA ENTRE AUTO E MOTO",CASA FORTE,,CIDADE,COLISÃO TRASEIRA,1,1,0,0,0,0,0,0,0,2,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,,Dupla,Faixa contínua,,
202200333,2022-01-06,,SEM VÍTIMA,FINALIZADA,CASA AMARELA,RUA EUGENIO SAMICO,,RUA OSCAR DE BARROS,AO LADO DO CENTRO DE SAÚDE MÁRIO RAMOS ( PROFESSOR ),CASA AMARELA,,SUBURBIO,,2,0,0,0,0,0,0,0,0,0,0,Cruzamento,Bom,Não existe,,Seca,Perfeito estado,Faixa de pedestre,Outras,30 km/h,Dupla,Não existe,,
202200338,2022-01-06,,COM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA VISCONDE DE JEQUITINHONHA,680,RUA BALTAZAR PASSOS,E/F AO EDIFICIO MARIA GUILHERMINA,BOA VIAGEM,154,,COLISÃO TRANSVERSAL,2,0,0,0,0,0,0,0,0,2,0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,"Placas ""Pare""",60 km/h,Única,Faixa seccionada,Canteiro central,Canal
202200372,2022-01-06,,SEM VÍTIMA,FINALIZADA,SANTO ANTÔNIO,RUA IMPERADOR PEDRO SEGUNDO,,,"POR TRAS DO FORUM THOMAZ DE AQUINO, INFORMAÇÃO QUE UM POSTE DESABOU RUIU  SOBRE DOIS VEÍCULOS, CAUSANDO TRANSTONO NA VIA E DANOS MATERIAIS. EQUIPE DE ZONA AZUL MONITORANDO O LOCAL",SANTO ANTÔNIO,203,CIDADE,,3,0,0,0,0,0,0,0,0,0,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,,Única,Faixa contínua,,
202200383,2022-01-06,,COM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA DOS NAVEGANTES,785,RUA ERNESTO DE PAULA SANTOS,EM FRENTE AO EDIFICIO MARIA RENDA,BOA VIAGEM,,SUBURBIO,COLISÃO LATERAL,1,0,0,0,0,0,0,0,1,1,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Faixa de retenção,"Placas ""Pare""",,Única,Faixa seccionada,,
202200384,2022-01-06,,COM VÍTIMA,FINALIZADA,CORDEIRO,RUA PROFESSOR JOAQUIM XAVIER DE BRITO,166,RUA OCIDENTAL,NO SEMAFORO 541,CORDEIRO,541,,COLISÃO TRANSVERSAL,0,1,0,0,0,0,1,0,0,1,0,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,30 km/h,Dupla,Canteiro central,,
202200399,2022-01-06,,COM VÍTIMA,FINALIZADA,IPUTINGA,AV MAURICIO DE NASSAU,455,EST DO BARBALHO,EM FRENTE AO JR HORTIFRUTI,IPUTINGA,246,,COLISÃO TRANSVERSAL,1,1,0,0,0,0,0,0,0,1,0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,60 km/h,Dupla,Faixa contínua,,
202200425,2022-01-07,,COM VÍTIMA,FINALIZADA,SANTO AMARO,AV GOVERNADOR AGAMENON MAGALHAES,,,PROX AO POSTO  DISLUB / SENT OLINDA,SANTO AMARO,378,,COLISÃO TRASEIRA,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,,,Não há placas,60 km/h,Dupla,Canteiro central,,
202200437,2022-01-07,,COM VÍTIMA,FINALIZADA,DERBY,AV GOVERNADOR AGAMENON MAGALHAES,,,PRAÇA DO DERBY,DERBY,75,BOA VIAGEM,COLISÃO TRASEIRA,0,2,0,0,0,0,0,0,0,2,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Agente,Outras,60 km/h,Dupla,Canteiro central,,
202200438,2022-01-07,,COM VÍTIMA,FINALIZADA,LINHA DO TIRO,RUA URIEL DE HOLANDA,274,,EM FRENTE A CLINICA CENTRAL,LINHA DO TIRO,,SUBURBIO,ATROPELAMENTO DE PESSOA,0,1,0,0,1,0,0,0,0,1,0,Longo da via,Bom,Não existe,Não existente,Seca,Perfeito estado,Não existe,Outras,30 km/h,Dupla,Não existe,,
202200439,2022-01-07,,SEM VÍTIMA,CANCELADA,BOA VISTA,AV CONDE DA BOA VISTA,,,E/F A GRÁFICA NACIONAL,BOA VISTA,,SUBURBIO,COLISÃO TRASEIRA,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
202200453,2022-01-07,,COM VÍTIMA,CANCELADA,AFOGADOS,RUA CINCO DE NOVEMBRO,171,RUA JACIRA,PRÓX À IGREJA METODISTA  E BIBLIOTECA MUNICIPAL DE AFOGADOS,AFOGADOS,,,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
202200472,2022-01-07,,COM VÍTIMA,FINALIZADA,PINA,AV ENCANTA MOCA,15,,PROX A LANCHONETE DO MAGAIVER,PINA,,SUBURBIO,COLISÃO FRONTAL,0,2,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Não existe,Incompleta,Seca,Perfeito estado,Não existe,Não há placas,,Dupla,Não existe,,
202200483,2022-01-08,,COM VÍTIMA,FINALIZADA,JOANA BEZERRA,VIADUTO CAPITAO TEMUDO,,,NO SENTIDO  BOA VIAGEM,JOANA BEZERRA,,CIDADE,COLISÃO FRONTAL,1,1,0,0,0,0,0,0,0,1,0,Viaduto,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,60 km/h,Única,Faixa seccionada,,
